id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
c8efcc854d97dfc2a42b83316a2109f9d166e43f,Self-Attention with Relative Position Representations,Peter Shaw; Jakob Uszkoreit; Ashish Vaswani,North American Chapter of the Association for Computational Linguistics,2018,2920,14,268,10.18653/v1/N18-2074,https://www.semanticscholar.org/paper/c8efcc854d97dfc2a42b83316a2109f9d166e43f
b626754a0fd7de12c87e88165b2484ac5d98212a,Decoupling Strategy and Generation in Negotiation Dialogues,He He; Derek Chen; Anusha Balakrishnan; Percy Liang,Conference on Empirical Methods in Natural Language Processing,2018,257,34,48,10.18653/v1/D18-1256,https://www.semanticscholar.org/paper/b626754a0fd7de12c87e88165b2484ac5d98212a
cabb0a468af8184e0e930841435b65679b580521,Numeral Understanding in Financial Tweets for Fine-Grained Crowd-Based Forecasting,Chung-Chi Chen; Hen-Hsen Huang; Yow-Ting Shiue; Hsin-Hsi Chen,International Conference on Wirtschaftsinformatik,2018,49,22,3,10.1109/WI.2018.00-97,https://www.semanticscholar.org/paper/cabb0a468af8184e0e930841435b65679b580521
81b4920ad488affaee27389ff9540b7fea90a4ce,“Going on a vacation” takes longer than “Going for a walk”: A Study of Temporal Commonsense Understanding,Ben Zhou; Daniel Khashabi; Qiang Ning; Dan Roth,Conference on Empirical Methods in Natural Language Processing,2019,241,36,37,10.18653/v1/D19-1332,https://www.semanticscholar.org/paper/81b4920ad488affaee27389ff9540b7fea90a4ce
dfba20af7aacd819e7b22cf2bf189cd7af9da0a1,Enhancing the Transformer with Explicit Relational Encoding for Math Problem Solving,Imanol Schlag; P. Smolensky; Roland Fernandez; N. Jojic; J. Schmidhuber; Jianfeng Gao,arXiv.org,2019,60,29,2,,https://www.semanticscholar.org/paper/dfba20af7aacd819e7b22cf2bf189cd7af9da0a1
5e0cffc51e8b64a8f11326f955fa4b4f1803e3be,oLMpics-On What Language Model Pre-training Captures,Alon Talmor; Yanai Elazar; Yoav Goldberg; Jonathan Berant,Transactions of the Association for Computational Linguistics,2019,317,63,31,10.1162/tacl_a_00342,https://www.semanticscholar.org/paper/5e0cffc51e8b64a8f11326f955fa4b4f1803e3be
e081dfa64e5ed12fe15fc885ec82ef1f35ab9830,iNALU: Improved Neural Arithmetic Logic Unit,Daniel Schlör; Markus Ring; A. Hotho,Frontiers in Artificial Intelligence,2020,18,20,0,10.3389/frai.2020.00071,https://www.semanticscholar.org/paper/e081dfa64e5ed12fe15fc885ec82ef1f35ab9830
716efab73e1916fdc2a23727b581d200271ed499,BERT in Negotiations: Early Prediction of Buyer-Seller Negotiation Outcomes,Kushal Chawla; Gale M. Lucas; J. Gratch; Jonathan May,arXiv.org,2020,6,15,0,,https://www.semanticscholar.org/paper/716efab73e1916fdc2a23727b581d200271ed499
4599f96dd1a2584e00d342953fc7e1361ffd6e1f,Neural Status Registers,Lukas Faber; Roger Wattenhofer,International Conference on Machine Learning,2020,9,57,1,,https://www.semanticscholar.org/paper/4599f96dd1a2584e00d342953fc7e1361ffd6e1f
45e5d7637a585a87d967a4a357d17c5d89aecea2,A Formal Hierarchy of RNN Architectures,William Merrill; Gail Weiss; Yoav Goldberg; Roy Schwartz; Noah A. Smith; Eran Yahav,Annual Meeting of the Association for Computational Linguistics,2020,101,30,6,10.18653/v1/2020.acl-main.43,https://www.semanticscholar.org/paper/45e5d7637a585a87d967a4a357d17c5d89aecea2
8a5590978930070f50c5f9fbf61f67e5d95794f0,Machine Number Sense: A Dataset of Visual Arithmetic Problems for Abstract and Relational Reasoning,Wenhe Zhang; Chi Zhang; Yixin Zhu; Song-Chun Zhu,AAAI Conference on Artificial Intelligence,2020,33,60,3,10.1609/AAAI.V34I02.5489,https://www.semanticscholar.org/paper/8a5590978930070f50c5f9fbf61f67e5d95794f0
